KP_ID,pe,real_TS,current_GVT,time_ahead_GVT,total_rollbacks,secondary_rollbacks
0,0,7061511.000000,6096.469727,8.565462,73,30
1,0,7061511.000000,6096.469727,8.760538,101,35
2,0,7061511.000000,6096.469727,3.848218,81,31
3,0,7061511.000000,6096.469727,8.849245,112,27
4,0,7061511.000000,6096.469727,6.170789,79,23
5,0,7061511.000000,6096.469727,8.821758,93,30
6,0,7061511.000000,6096.469727,8.11461,99,36
7,0,7061511.000000,6096.469727,7.95645,70,27
8,0,7061511.000000,6096.469727,7.458826,92,29
9,0,7061511.000000,6096.469727,8.419084,97,33
10,0,7061511.000000,6096.469727,8.764183,87,24
11,0,7061511.000000,6096.469727,6.203769,88,26
12,0,7061511.000000,6096.469727,8.611989,91,28
13,0,7061511.000000,6096.469727,8.829299,85,32
14,0,7061511.000000,6096.469727,8.684052,76,31
15,0,7061511.000000,6096.469727,8.507144,98,44
0,0,7061657.000000,9469.614258,24.711023,69,24
1,0,7061657.000000,9469.614258,21.449509,61,19
2,0,7061657.000000,9469.614258,24.436852,84,33
3,0,7061657.000000,9469.614258,25.404406,59,16
4,0,7061657.000000,9469.614258,25.601196,65,32
5,0,7061657.000000,9469.614258,24.723227,85,27
6,0,7061657.000000,9469.614258,23.71031,78,28
7,0,7061657.000000,9469.614258,25.695229,57,18
8,0,7061657.000000,9469.614258,25.552769,89,25
9,0,7061657.000000,9469.614258,24.536242,58,17
10,0,7061657.000000,9469.614258,24.885584,76,24
11,0,7061657.000000,9469.614258,23.043581,66,22
12,0,7061657.000000,9469.614258,25.39562,82,26
13,0,7061657.000000,9469.614258,25.521324,43,13
14,0,7061657.000000,9469.614258,19.58902,67,29
15,0,7061657.000000,9469.614258,25.331753,55,13
0,0,7061803.000000,9788.93457,4.322378,4,4
1,0,7061803.000000,9788.93457,12.439089,4,1
2,0,7061803.000000,9788.93457,13.188558,5,2
3,0,7061803.000000,9788.93457,14.393144,8,2
4,0,7061803.000000,9788.93457,11.985662,12,1
